NODE,Si
12315,0.0244
12316,0.0269
12317,0.0331
12318,0.0491
12319,0.0616
12320,0.1288
12321,0.2527
12322,0.4098
12323,0.5271
12324,0.4792
12325,0.2878
12326,0.0348
12327,0.0357
12328,0.046
12329,0.0624
12330,0.078
12331,0.1252
12332,0.0225
12333,0.0163
12334,0.0152
12335,0.014
12336,0.0119
12369,0.0431
12370,0.0543
12371,0.0637
12372,0.0769
12373,0.0922
12374,0.2756
12375,0.3042
12376,0.4835
12377,0.4592
12378,0.3925
12379,0.1456
12380,0.023
12381,0.0275
12382,0.0414
12383,0.0876
12384,0.0894
12385,0.0854
12386,0.0777
12387,0.054
12388,0.0304
12389,0.0328
12390,0.0098
12391,0.0085
12392,0.0083
12429,0.0266
12430,0.025
12431,0.0248
12432,0.0273
12433,0.033
12434,0.048
12435,0.0614
12436,0.127
12437,0.2495
12438,0.4048
12439,0.5248
12440,0.4809
12441,0.2906
12442,0.0283
12443,0.0213
12444,0.0232
12445,0.0617
12446,0.037
12447,0.0813
12448,0.0298
12449,0.0221
12450,0.0212
12451,0.0168
12452,0.0118
12485,0.0394
12486,0.05
12487,0.0644
12488,0.0887
12489,0.1132
12490,0.1297
12491,0.1729
12492,0.5171
12493,0.4707
12494,0.4084
12495,0.1611
12496,0.0285
12497,0.0217
12498,0.0237
12499,0.0559
12500,0.0502
12501,0.0689
12502,0.0325
12503,0.0274
12504,0.0211
12505,0.0236
12506,0.0103
12507,0.0077
12508,0.006
12545,0.0163
12546,0.0246
12547,0.0299
12548,0.0283
12549,0.0252
12550,0.0234
12551,0.0264
12552,0.1255
12553,0.1935
12554,0.4943
12555,0.5191
12556,0.4653
12557,0.2477
12558,0.0293
12559,0.0226
12560,0.026
12561,0.0931
12562,0.0579
12563,0.0457
12564,0.0379
12565,0.0314
12566,0.0238
12567,0.0188
12568,0.0139
12601,0.0377
12602,0.0446
12603,0.0537
12604,0.0851
12605,0.1203
12606,0.1798
12607,0.267
12608,0.4831
12609,0.4796
12610,0.4239
12611,0.1767
12612,0.0285
12613,0.0218
12614,0.0238
12615,0.056
12616,0.0502
12617,0.0694
12618,0.0325
12619,0.0273
12620,0.0212
12621,0.0237
12622,0.0105
12623,0.0083
12624,0.0069
12661,0.0221
12662,0.023
12663,0.0219
12664,0.0224
12665,0.0224
12666,0.0218
12667,0.0252
12668,0.1236
