NODE ,X [m],Y [m],Z [m]
3894,72.658,-2.530,0.442
3895,73.433,-2.530,0.440
3896,74.207,-2.530,0.437
3897,74.981,-2.530,0.435
3898,75.755,-2.530,0.432
3899,76.530,-2.530,0.428
3900,77.304,-2.530,0.425
3901,78.078,-2.530,0.422
3902,78.852,-2.530,0.419
3903,79.627,-2.530,0.416
3904,80.401,-2.530,0.412
3905,81.175,-2.530,0.407
3906,81.950,-2.530,0.403
3907,82.724,-2.530,0.399
3908,83.498,-2.530,0.394
3909,84.272,-2.530,0.390
3910,85.047,-2.530,0.386
3911,85.821,-2.530,0.380
3912,86.595,-2.530,0.375
3913,87.370,-2.530,0.369
3914,88.144,-2.530,0.364
3915,88.918,-2.530,0.359
3916,89.692,-2.530,0.353
3917,90.467,-2.530,0.348
3918,91.241,-2.530,0.341
3919,92.015,-2.530,0.334
3920,92.790,-2.530,0.328
3921,93.564,-2.530,0.322
3922,94.338,-2.530,0.315
3924,95.887,-2.530,0.301
3926,97.435,-2.530,0.286
3927,98.210,-2.530,0.279
3928,98.984,-2.530,0.271
3929,99.758,-2.530,0.264
3930,100.532,-2.530,0.255
3931,101.307,-2.530,0.247
3932,102.081,-2.530,0.238
3933,102.855,-2.530,0.230
3934,103.630,-2.530,0.221
3935,104.404,-2.530,0.213
3936,105.178,-2.530,0.204
3937,105.952,-2.530,0.194
3938,106.727,-2.530,0.185
3939,107.501,-2.530,0.175
3940,108.275,-2.530,0.166
3941,109.050,-2.530,0.156
3942,109.824,-2.530,0.147
3943,110.598,-2.530,0.136
3944,111.372,-2.530,0.126
3945,112.147,-2.530,0.115
3946,112.921,-2.530,0.104
3947,113.695,-2.530,0.094
3948,114.469,-2.530,0.083
3949,115.244,-2.530,0.073
3950,116.018,-2.530,0.060
3951,116.792,-2.530,0.049
3952,117.567,-2.530,0.037
3953,118.341,-2.530,0.025
3954,119.115,-2.530,0.014
3955,119.889,-2.530,0.002
3956,120.664,-2.530,-0.011
3957,121.438,-2.530,-0.023
3958,122.212,-2.530,-0.036
3959,122.987,-2.530,-0.049
3960,123.503,-2.530,-0.057
3961,124.019,-2.530,-0.066
3962,124.535,-2.530,-0.074
11321,0.268,-2.530,-0.059
11322,0.402,-2.530,-0.057
11323,0.526,-2.530,-0.055
11324,0.632,-2.462,-0.051
11325,0.614,-2.393,-0.050
11326,0.592,-2.306,-0.048
